epochs,Sequential CNN AUC,Sequential CNN Val AUC,Hybrid CNN AUC,Hybrid CNN Val AUC
147,0.9999,0.9201,0.9999,0.9135
148,0.9999,0.903,0.9982,0.8923
149,0.9993,0.9366,0.9999,0.936
150,0.9992,0.9228,0.9987,0.8984
151,0.9984,0.9364,0.9986,0.9486
152,0.9996,0.9264,0.9948,0.8138
153,0.9968,0.9318,0.9971,0.7941
154,0.9971,0.9328,0.9988,0.9223
155,0.9981,0.9235,1,0.9146
156,0.9991,0.9525,1,0.9376
157,0.9999,0.922,0.9999,0.9391
158,0.9992,0.9367,0.9992,0.8642
159,0.9999,0.9243,0.9981,0.9359
160,0.9985,0.9158,0.9992,0.8926
161,0.9955,0.9179,0.9984,0.9363
162,0.9996,0.9464,0.9986,0.9186
163,0.9999,0.9328,0.9986,0.9004
164,0.9992,0.9309,0.9999,0.9361
165,1,0.9176,0.9999,0.9074
166,0.9999,0.9094,0.9984,0.9076
167,0.9999,0.9225,0.9974,0.9357
168,0.9993,0.9077,0.9992,0.9118
169,0.9985,0.9158,0.9999,0.9029
170,0.9998,0.9273,0.9978,0.9044
171,0.9992,0.932,0.9993,0.9131
172,0.9998,0.9331,0.9999,0.9284
173,0.9966,0.907,0.9999,0.9279
174,0.999,0.9218,0.9999,0.9457
175,0.9993,0.9349,0.9993,0.9492
176,0.9978,0.9072,0.9994,0.9252
177,0.9984,0.9086,0.9987,0.9321
178,0.9998,0.9209,0.9969,0.8997
179,0.9993,0.9192,0.9987,0.9319
180,0.9994,0.9161,0.9994,0.9449
181,0.9985,0.9326,0.998,0.9212
182,0.9993,0.9363,0.9994,0.8937
183,0.9999,0.937,1,0.9102
184,1,0.9262,1,0.9147
185,0.9993,0.911,0.9986,0.9245
186,0.9993,0.9238,0.9985,0.8385
187,1,0.9349,0.998,0.8954
188,0.9998,0.9228,0.9979,0.8149
189,0.9986,0.9393,0.9984,0.9265
190,0.9998,0.9248,0.9992,0.9368
191,0.9986,0.9137,0.9994,0.9163
192,0.9986,0.9221,0.9973,0.9405
193,0.9983,0.9464,0.9981,0.946
194,0.9999,0.9309,0.9993,0.9414
195,0.9985,0.9269,0.9994,0.9038
196,0.9999,0.9256,1,0.9429
197,0.9999,0.9223,1,0.9444
198,0.9993,0.9302,1,0.9608
199,0.9993,0.9161,1,0.9322
200,0.9972,0.9178,1,0.927
