epochs,Sequential CNN Acc,Sequential CNN Val Acc,Hybrid CNN Acc,Hybrid CNN Val Acc
146,0.9875,0.7991,0.9781,0.6875
147,0.9906,0.7589,0.9917,0.7545
148,0.9927,0.7411,0.9937,0.7277
149,0.9927,0.8125,0.9917,0.8348
150,0.9865,0.7991,0.9896,0.7545
151,0.9771,0.7902,0.9844,0.8125
152,0.9792,0.7723,0.9833,0.5938
153,0.9625,0.7589,0.9771,0.5714
154,0.9604,0.7902,0.9906,0.7634
155,0.974,0.7321,0.9927,0.7455
156,0.9896,0.7946,0.9958,0.8036
157,0.9937,0.75,0.9927,0.808
158,0.9865,0.7634,0.9854,0.7098
159,0.9875,0.7321,0.9885,0.8304
160,0.976,0.7679,0.9833,0.7455
161,0.9583,0.75,0.9792,0.7902
162,0.9212,0.7902,0.9854,0.7232
163,0.9927,0.7902,0.9885,0.7411
164,0.9885,0.7768,0.9875,0.8259
165,0.9917,0.7455,0.9896,0.7679
166,0.9906,0.7455,0.9802,0.7812
167,0.9854,0.7455,0.9875,0.8214
168,0.9875,0.7545,0.9833,0.7768
169,0.9844,0.7545,0.9896,0.7411
170,0.9875,0.808,0.9771,0.7411
171,0.9954,0.7946,0.9885,0.7902
172,0.9833,0.7991,0.9896,0.7857
173,0.9802,0.7634,0.9906,0.8036
174,0.9802,0.7589,0.9917,0.8214
175,0.9875,0.7991,0.9927,0.817
176,0.975,0.7679,0.9948,0.7902
177,0.9812,0.7098,0.9885,0.7991
178,0.9844,0.7589,0.9823,0.75
179,0.9906,0.75,0.9948,0.8214
180,0.9865,0.7545,0.9958,0.817
181,0.9844,0.7723,0.9854,0.7857
182,0.9948,0.7545,0.9885,0.75
183,0.9865,0.7946,0.9937,0.7634
184,0.9948,0.7946,0.9958,0.7723
185,0.9865,0.7589,0.9844,0.8036
186,0.9854,0.7634,0.9792,0.6071
187,0.9937,0.8125,0.9854,0.7232
188,0.9854,0.7545,0.9812,0.6027
189,0.9781,0.8036,0.976,0.7857
190,0.9885,0.7589,0.9792,0.8214
191,0.9865,0.7679,0.9885,0.7679
192,0.9875,0.7857,0.9865,0.7902
193,0.975,0.7991,0.9844,0.808
194,0.9875,0.7723,0.9937,0.8036
195,0.9885,0.7946,0.9875,0.75
196,0.9875,0.7455,0.9896,0.7902
197,0.9927,0.7634,0.9937,0.829
198,0.9927,0.7902,0.999,0.8527
199,0.9896,0.7589,0.9969,0.8036
200,0.9802,0.7589,0.9979,0.8125
